iter	RMSEWithUncertainty
0	1.118523338
1	1.101325124
2	1.084440721
3	1.071878338
4	1.054886517
5	1.042794002
6	1.030312062
7	1.017760132
8	1.005005147
9	0.9919227715
10	0.9796989445
11	0.9683036205
12	0.9557949672
13	0.9438638456
14	0.9327003163
15	0.923505478
16	0.912304984
17	0.9012837678
18	0.8899160823
19	0.8797231328
20	0.8694438476
21	0.8612089467
22	0.8499504023
23	0.8394146717
24	0.8308701552
25	0.8238749997
26	0.81636786
27	0.8074574948
28	0.7986698232
29	0.7908564112
30	0.7839634995
31	0.7760012793
32	0.7710348793
33	0.7631969894
34	0.7567044246
35	0.749447312
36	0.7431282258
37	0.7350820615
38	0.727458869
39	0.719177329
40	0.7142813359
41	0.7079402306
42	0.7026084341
43	0.6973908393
44	0.6911654725
45	0.6839212064
46	0.6772114538
47	0.6717831003
48	0.6648904718
49	0.659484897
